Letras   Frecuencia absoluta   Frecuencia relativa
      a                 1233             0.0139102
      b                  142            0.00160199
      c                  344            0.00388087
      d                  344            0.00388087
      e                 1427             0.0160988
      f                   78           0.000879964
      g                  126            0.00142148
      h                  102            0.00115072
      i                  623            0.00702843
      j                   41           0.000462545
      k                    3           3.38448e-05
      l                  359            0.00405009
      m                  471            0.00531363
      n                  745            0.00840478
      o                  500            0.00564079
      p                  194            0.00218863
      q                   22           0.000248195
      r                  754            0.00850632
      s                  613            0.00691561
      t                  674            0.00760379
      w                    3           3.38448e-05
      y                   26           0.000293321
      z                   40           0.000451264
