Letra       Cantidad    Puntuación
a             18              1
b              6              2
c              8              3
d              8              3
e             21              1
f              5              4
g              6              2
h              6              2
i             12              1
j              5              4
k              5              4
l              9              3
m             10              2
n             13              2
o             10              3
p              7              3
q              5              4
r             13              3
s             11              3
t             12              2
w              5              4
y              5              4
z              5              4
